shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
5-1-3,41.7711474063649,140.732806872504,34
5-1-3,41.7711514288974,140.732670954513,35
5-1-3,41.7716044947871,140.731285214424,36
5-1-3,41.7724213941356,140.72895166348,37
5-1-3,41.7726146832959,140.72835624218,38
5-1-3,41.7726251367468,140.728199128424,39
5-1-3,41.772584170735,140.728063035829,40
5-1-3,41.77247,140.728,41
5-1-4,41.783365,140.778994285714,1
5-1-4,41.7835923154802,140.778361568614,2
5-1-4,41.78414,140.7766,3
5-1-4,41.7842983229547,140.776135364233,4
5-1-4,41.7844630674442,140.775743732616,5
5-1-4,41.7848218241598,140.774976620838,6
5-1-4,41.7852425717208,140.77415044226,7
5-1-4,41.7857980658047,140.772975634711,8
5-1-4,41.78708,140.7701,9
5-1-4,41.7873080197215,140.769545905849,10
5-1-4,41.7878130110735,140.767286609541,11
5-1-4,41.7879,140.7655,12
5-1-4,41.787957730762,140.764431371416,13
5-1-4,41.78862,140.7594,14
5-1-4,41.7886917018644,140.758806428255,15
5-1-4,41.7887609463995,140.757808704703,16
5-1-4,41.788935431387,140.755071043968,17
5-1-4,41.78914,140.7531,18
5-1-4,41.7892534586465,140.751854986409,19
5-1-4,41.7892299149582,140.751696854128,20
5-1-4,41.7891729172243,140.751621752276,21
5-1-4,41.7891121684367,140.751582510212,22
5-1-4,41.7867,140.751,23
5-1-4,41.7858903075255,140.750787907028,24
5-1-4,41.7857275659879,140.750634670258,25
5-1-4,41.78401,140.7485,26
5-1-4,41.78086,140.7446,27
5-1-4,41.77798,140.7409,28
5-1-4,41.77618,140.7387,29
5-1-4,41.77397,140.7359,30
5-1-4,41.7727981764244,140.734448413522,31
5-1-4,41.77168,140.7334,32
5-1-4,41.7712160196725,140.732953432028,33
5-1-4,41.7711474063649,140.732806872504,34
5-1-4,41.7711514288974,140.732670954513,35
5-1-4,41.7716044947871,140.731285214424,36
5-1-4,41.7724213941356,140.72895166348,37
5-1-4,41.7726146832959,140.72835624218,38
5-1-4,41.7726251367468,140.728199128424,39
5-1-4,41.772584170735,140.728063035829,40
5-1-4,41.77247,140.728,41
5-1-4,41.770978375166,140.726945371137,42
5-1-4,41.769385,140.725577142857,43
5-1-4,41.7680316685644,140.724234590694,44
5-1-4,41.7673757301915,140.723555117144,45
5-1-4,41.7668358432162,140.723049025209,46
5-1-4,41.76664,140.7228,47
5-1-4,41.7657058202837,140.721677367129,48
5-1-4,41.7652633579304,140.721115474265,49
5-1-4,41.7648742758194,140.720472297014,50
5-1-4,41.7644639264185,140.71966401923,51
5-1-4,41.7644633333334,140.719671428572,52
5-1-4,41.7642523295832,140.719109763936,53
5-1-4,41.7640352931059,140.718391019222,54
5-1-4,41.7639321482177,140.717753558894,55
5-1-4,41.7639384768434,140.717294812202,56
5-1-4,41.7640214007814,140.716877554921,57
5-1-4,41.7641260733336,140.716566738783,58
5-1-4,41.7644524187274,140.715909072113,59
5-1-4,41.76654,140.7125,60
5-1-7,41.77226,140.727794285714,1
5-1-7,41.7725938400932,140.728029361888,2
5-1-7,41.7726636877291,140.728156009374,3
5-1-7,41.7726549048416,140.728354551043,4
5-1-7,41.7711987013468,140.7325566979,5
5-1-7,41.7711681671839,140.732717630441,6
5-1-7,41.7712151615647,140.73287124552,7
5-1-7,41.7713,140.733,8
5-1-7,41.7728069341326,140.734384156908,9
5-1-7,41.77352,140.7353,10
5-1-7,41.77578,140.7381,11
5-1-7,41.776701828555,140.739278197289,12
5-1-7,41.77788,140.7407,13
5-1-7,41.78044,140.744,14
5-1-7,41.78391,140.7483,15
5-1-7,41.7857970609847,140.75066983163,16
5-1-7,41.7859365617743,140.750768722507,17
5-1-7,41.78654,140.7509,18
5-1-7,41.7891084284891,140.751529302543,19
5-1-7,41.7891906655247,140.751591344207,20
5-1-7,41.7892636644157,140.751718428203,21
5-1-7,41.789275,140.751945714286,22
5-1-7,41.7889704214524,140.755019381932,23
5-1-7,41.78876,140.7581,24
5-1-7,41.7886897047162,140.759069517544,25
5-1-7,41.7880177332751,140.764228192847,26
5-1-7,41.78795,140.7651,27
5-1-7,41.7878500076143,140.767293228585,28
5-1-7,41.7873825190732,140.769372553335,29
5-1-7,41.78721,140.769917142857,30
5-1-7,41.7855133199747,140.773672950854,31
5-1-7,41.7845450679006,140.77561399716,32
5-1-7,41.78425,140.7764,33
