stop_id,stop_name,route_count,total_daily_trips,p_morning,p_daytime,p_night,latitude,longitude,elevation,osm_node_id,osm_node_dist
S0203,東山ニュータウン,1,52,0.7135,0.6575,0.3697,41.812267,140.771393,28.8,1923679186,57.6
S0204,東山公園,17,657,0.9994,0.9994,0.9996,41.812267,140.771393,28.8,1923679186,57.6
S0205,東山団地,15,587,0.9994,0.9994,0.999,41.812267,140.771393,28.8,1923679186,57.6
S0206,東山墓園前,1,21,0.3935,0.2212,0.2649,41.812267,140.771393,28.8,1923679186,57.6
S0207,東山町,1,21,0.3935,0.2212,0.2649,41.829136,140.816681,194.5,5715192984,170.7
S0208,東山町西,1,21,0.3935,0.2212,0.2649,41.829136,140.816681,194.5,5715192984,170.7
S0209,東山見晴台団地下,1,24,0.5276,0.2749,0.2061,41.812267,140.771393,28.8,1923679186,57.6
S0210,東本通,17,647,0.9994,0.9994,0.9995,41.812267,140.771393,28.8,1923679186,57.6
S0211,東横イン函館朝市前,1,48,0.5831,0.5105,0.48,41.812267,140.771393,28.8,1923679186,57.6
S0212,東浜２丁目,1,33,0.3935,0.3935,0.3697,41.823318,140.661758,4.0,505082286,3535.0
S0213,東港,3,116,0.9561,0.8908,0.6594,41.812267,140.771393,28.8,1923679186,57.6
S0214,東照宮参道,1,21,0.3935,0.2212,0.2649,41.812267,140.771393,28.8,1923679186,57.6
S0215,東陣川・翔大鋼業前,1,21,0.3935,0.2212,0.2649,41.812267,140.771393,28.8,1923679186,57.6
S0216,松原通,3,98,0.9561,0.8134,0.6177,41.788235,140.761383,18.4,5619912384,13.7
S0217,松川町,5,156,0.9889,0.9361,0.8087,41.785404,140.736206,2.6,4776490362,19.1
S0218,松風町,25,1213,1.0,1.0,1.0,41.77149,140.7332,3.8,4659387015,16.0
S0219,松風町・そよかぜ,2,44,0.7769,0.5105,0.3697,41.771976,140.732651,3.5,4659387027,12.2
S0220,松風町・プレイＧ,1,52,0.7135,0.6575,0.3697,41.771976,140.732651,3.5,4659387027,12.2
S0221,林業試験場前,3,98,0.9561,0.8134,0.6177,41.895721,140.694412,78.0,1620297125,5306.7
S0222,柏木町,12,903,1.0,1.0,1.0,41.787925,140.7653,18.8,12248627914,22.3
S0223,柏野小学校裏,2,67,0.9276,0.6575,0.4596,41.791375,140.7598194,16.3,666139417,25.9
S0224,栄町,1,12,0.2212,0.1016,0.1426,41.764572,140.72644,2.3,262998946,27.4
S0225,栗の木公園,1,21,0.3935,0.2212,0.2649,41.895721,140.694412,78.0,1620297125,5306.7
S0226,桐花通中央,13,477,0.9994,0.9998,0.994,41.895721,140.694412,78.0,1620297125,5306.7
S0227,桔梗,1,59,0.8806,0.6049,0.4384,41.829765,140.729477,29.2,5137535074,31.9
S0228,桔梗中通,3,98,0.9561,0.8134,0.6177,41.829765,140.729477,29.2,5137535074,31.9
S0229,桔梗小学校前,1,59,0.8806,0.6049,0.4384,41.829765,140.729477,29.2,5137535074,31.9
S0230,桔梗町４１８番地,2,56,0.8031,0.6049,0.48,41.840313,140.732941,43.6,5818331123,66.9
S0231,桔梗福祉交流センター,4,157,0.9954,0.9263,0.7853,41.829765,140.729477,29.2,5137535074,31.9
S0232,桜ヶ丘団地前,3,116,0.9561,0.8908,0.6594,41.832554,140.61116,55.0,505082286,7065.3
S0233,桜岡,3,98,0.9561,0.8134,0.6177,41.832554,140.61116,55.0,505082286,7065.3
S0234,棒二・のぞみ大門,2,67,0.9276,0.6575,0.4596,41.768688,140.728943,3.7,12090442314,37.4
S0235,棒二森屋前,14,431,0.9994,0.9996,0.9855,41.895721,140.694412,78.0,1620297125,5306.7
S0236,機関区前,3,100,0.8806,0.8199,0.6965,41.895721,140.694412,78.0,1620297125,5306.7
S0237,武佐川橋,3,98,0.9561,0.8134,0.6177,41.895721,140.694412,78.0,1620297125,5306.7
S0238,津軽海峡フェリー,1,44,0.8031,0.4551,0.3935,41.895721,140.694412,78.0,1620297125,5306.7
S0239,流通センター入口,5,204,0.9964,0.9676,0.9043,41.895721,140.694412,78.0,1620297125,5306.7
S0240,浄水場下,8,255,0.9987,0.9897,0.9397,41.895721,140.694412,78.0,1620297125,5306.7
S0241,浜分小学校前,3,85,0.9361,0.7135,0.6177,41.82587222,140.702025,4.6,1620292687,552.2
S0242,海岸町,1,14,0.2212,0.2212,0.1426,41.78133,140.729492,1.3,808762742,45.1
